x-axis,1,2,3
second,Volt,Volt,Volt
+120.4000E-03,+1.8125000E+00,+2.7687500E+00,+2.3312502E+00
+120.5000E-03,+2.0937500E+00,+2.3000000E+00,+1.8937502E+00
+120.6000E-03,+2.5625000E+00,+1.9562500E+00,+1.7062502E+00
+120.7000E-03,+3.0000000E+00,+1.8000000E+00,+1.7687502E+00
+120.8000E-03,+3.3125000E+00,+1.8625000E+00,+2.0812502E+00
+120.9000E-03,+3.5312500E+00,+2.1750000E+00,+2.5187502E+00
+121.0000E-03,+3.4375000E+00,+2.5812500E+00,+3.0187502E+00
+121.1000E-03,+3.0937500E+00,+3.0187500E+00,+3.3937502E+00
+121.2000E-03,+2.5937500E+00,+3.3625000E+00,+3.5187502E+00
+121.3000E-03,+2.0937500E+00,+3.4250000E+00,+3.4562502E+00
+121.4000E-03,+1.7812500E+00,+3.3000000E+00,+3.1125002E+00
+121.5000E-03,+1.7187500E+00,+3.0187500E+00,+2.6125002E+00
+121.6000E-03,+1.8750000E+00,+2.5500000E+00,+2.1437502E+00
+121.7000E-03,+2.2812500E+00,+2.1125000E+00,+1.8625002E+00
+121.8000E-03,+2.7812500E+00,+1.8625000E+00,+1.7687502E+00
+121.9000E-03,+3.1875000E+00,+1.8312500E+00,+1.8937502E+00
+122.0000E-03,+3.4375000E+00,+2.0500000E+00,+2.3000002E+00
+122.1000E-03,+3.4687500E+00,+2.3937500E+00,+2.7687502E+00
+122.2000E-03,+3.2500000E+00,+2.8312500E+00,+3.2375002E+00
+122.3000E-03,+2.7812500E+00,+3.2062500E+00,+3.4875002E+00
+122.4000E-03,+2.3125000E+00,+3.4250000E+00,+3.4562502E+00
+122.5000E-03,+1.9375000E+00,+3.3625000E+00,+3.2687502E+00
+122.6000E-03,+1.6875000E+00,+3.1437500E+00,+2.8312502E+00
+122.7000E-03,+1.8125000E+00,+2.7062500E+00,+2.3312502E+00
+122.8000E-03,+2.1875000E+00,+2.3312500E+00,+1.9562502E+00
+122.9000E-03,+2.6562500E+00,+2.0187500E+00,+1.7375002E+00
+123.0000E-03,+3.1250000E+00,+1.8937500E+00,+1.8312502E+00
+123.1000E-03,+3.4375000E+00,+1.9875000E+00,+2.1437502E+00
+123.2000E-03,+3.5000000E+00,+2.3000000E+00,+2.6125002E+00
+123.3000E-03,+3.2812500E+00,+2.7062500E+00,+3.1125002E+00
+123.4000E-03,+2.8750000E+00,+3.1125000E+00,+3.4250002E+00
+123.5000E-03,+2.3750000E+00,+3.3625000E+00,+3.4562502E+00
+123.6000E-03,+2.0000000E+00,+3.3937500E+00,+3.3312502E+00
+123.7000E-03,+1.7187500E+00,+3.1437500E+00,+2.9250002E+00
